All,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10
3.7002,2.64014,3.15868,3.96072,3.48508,3.32549,2.98177,3.52545,3.83994,4.52135,5.18299
5.07129,3.20452,4.16155,4.49147,4.26247,3.8155,4.14063,4.70276,5.54011,7.11514,8.57161
5.04357,3.09929,3.60213,3.96736,3.78813,3.5999,3.86719,4.75451,5.61769,7.7555,9.59788
5.17338,2.95581,3.51344,3.8015,3.72884,3.6587,4.16016,4.95504,5.94091,8.11125,10.01097
5.21868,2.87928,3.42475,3.76833,3.67613,3.65216,4.15365,5.0456,6.08313,8.29884,10.25624
5.16797,2.82189,3.22691,3.56266,3.53778,3.6391,4.17969,5.03914,6.19303,8.22768,10.28852
5.22274,2.81232,3.10411,3.49632,3.48508,3.67176,4.26432,5.29142,6.31586,8.42173,10.36597
5.23964,2.75493,3.05635,3.57593,3.46531,3.67176,4.34896,5.34317,6.40636,8.37646,10.37243
5.22747,2.73579,2.99495,3.54276,3.42579,3.67176,4.34896,5.3561,6.52919,8.33765,10.30143
5.21192,2.71666,2.97448,3.5693,3.38626,3.6979,4.34245,5.42726,6.49686,8.26003,10.21752
